Name,Index No,Email,Phone,Academic Year,Dues Paid,Receipt No,Programme of Study,payment date,password,position
"Schneider , Luisa",323010153,Schneider.Luisa@htu.edu.gh,+233545363704,2023-2024, 105.00 , CSD327588623 ,HND Information Communication Technology,03.09.2023,AQrTCe8MO,student
"Shock, Lisa",323010154,Shock.Lisa@htu.edu.gh,+233249920791,2023-2024, 105.00 , CSD329610123 ,HND Information Communication Technology,03.09.2023,UbF3lM5zl5FcM0F,student
"School , Berenike",323010021,School.Berenike@htu.edu.gh,+233544477878,2023-2024, 105.00 , CSD331631623 ,BTech Computer Science,04.09.2023,TkypsxNFWQ0M4L,student
"School , Felicia",323010156,School.Felicia@htu.edu.gh,+233549034965,2023-2024, 105.00 , CSD333653123 ,HND Computer Science,03.09.2023,IMD)rvFnMS,student
"School , Leonnart",323010022,School.Leonnart@htu.edu.gh,+233553592052,2023-2024, 105.00 , CSD335674623 ,BTech Computer Science,04.09.2023,Oig9usEA,student
"Small , Cheers",323010023,Small.Cheers@htu.edu.gh,+233558149139,2023-2024, 105.00 , CSD337696123 ,BTech Computer Science,04.09.2023,Xh2jrH1sk6zl6PI,student
"Stell, Cheers",323010024,Stell.Cheers@htu.edu.gh,+233552706226,2023-2024, 105.00 , CSD339717623 ,BTech Computer Science,04.09.2023,Ngiy6Vs6nX1P,student
"Stoop , Christopher",323010025,Stoop.Christopher@htu.edu.gh,+233567263313,2023-2024, 105.00 , CSD341739123 ,BTech Computer Science,04.09.2023,FjTaXD9NsPZg8ncH,student
"Stopper , Lena",323010026,Stopper.Lena@htu.edu.gh,+233551820400,2023-2024, 105.00 , CSD343760623 ,BTech Computer Science,04.09.2023,RZFalgUssX,lecturer
"Tettey , Jona",323010162,Tettey.Jona@htu.edu.gh,+233556377487,2023-2024, 105.00 , CSD345782123 ,HND Information Communication Technology,03.09.2023,ZL3cagvvO,student
"Thomas , Lea",323010163,Thomas.Lea@htu.edu.gh,+233550934574,2023-2024, 105.00 , CSD347803623 ,HND Information Communication Technology,03.09.2023,FGojbuV,student
"Tranks , Clara",324011164,Tranks.Clara@htu.edu.gh,+233555491661,2024-2025, 150.00 , CSD349825124 ,HND Information Communication Technology,04.09.2024,5Zjz1c1lM4k(8w1MeL10bF,student
"Tutu , Julius",324011165,Tutu.Julius@htu.edu.gh,+233550048748,2024-2025, 150.00 , CSD351846624 ,HND Information Communication Technology,04.09.2024,Vv9gnODs5qr2xHhI,lecturer
"Wax , Noel ",324011166,Wax.Noel@htu.edu.gh,+233554605835,2024-2025, 150.00 , CSD353868124 ,HND Information Communication Technology,04.09.2024,M1lX0lwyjDFyaA,student
"Well , Tim",324011167,Well.Tim@htu.edu.gh,+233559162922,2024-2025, 150.00 , CSD355889624 ,HND Information Communication Technology,04.09.2024,VeDd4vljX,student
"Winter ,Ernest",323010168,Winter.Ernest@htu.edu.gh,+233553720009,2023-2024, 105.00 , CSD357911123 ,HND Information Communication Technology,03.09.2023,QWERTZ123,student
"Wolters , Christopher",323010027,Wolters.Christopher@htu.edu.gh,+233558277096,2023-2024, 105.00 , CSD359932623 ,BTech Computer Science,04.09.2023,XT8kozRuK,student
"Zicker , Daniela",323010028,Zicker.Daniela@htu.edu.gh,+233542834183,2023-2024, 105.00 , CSD361954123 ,BTech Computer Science,04.09.2023,Tt1dvIeVruFKctrA,student
